File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
all_data,Naive Bayes,0.8701119316646324,0.7817347110351248,0.69547013000219,0.725519513808796,1.4949581623077393
all_data,Naive Bayes,0.8701119316646324,0.7817347110351248,0.69547013000219,0.725519513808796,1.4208579063415527
all_data,Naive Bayes,0.8701119316646324,0.7817347110351248,0.69547013000219,0.725519513808796,1.427823543548584
all_data,Naive Bayes,0.8701119316646324,0.7817347110351248,0.69547013000219,0.725519513808796,1.3621666431427002
all_data,Naive Bayes,0.8701119316646324,0.7817347110351248,0.69547013000219,0.725519513808796,1.439694881439209
all_data,QDA,0.8761403800059702,0.8114211213424618,0.6866685281295408,0.7242735816754549,1.3680765628814697
all_data,QDA,0.8761403800059702,0.8114211213424618,0.6866685281295408,0.7242735816754549,1.3432378768920898
all_data,QDA,0.8761403800059702,0.8114211213424618,0.6866685281295408,0.7242735816754549,1.5860004425048828
all_data,QDA,0.8761403800059702,0.8114211213424618,0.6866685281295408,0.7242735816754549,1.4166145324707031
all_data,QDA,0.8761403800059702,0.8114211213424618,0.6866685281295408,0.7242735816754549,1.3168277740478516
all_data,Random Forest,0.9450992583224558,0.966744477489189,0.8364268080568823,0.8856615897178707,9.179285287857056
all_data,Random Forest,0.8943970580182955,0.9409474120472867,0.6834757603691736,0.7384527713874456,8.310199499130249
all_data,Random Forest,0.9404432402070833,0.9640569486258279,0.8225045724491604,0.8742232290071064,8.544492721557617
all_data,Random Forest,0.9439069926821384,0.9658773540217094,0.832970732403217,0.8827958888149454,8.587154388427734
all_data,Random Forest,0.9459082326384044,0.9677188006080775,0.8385311036574306,0.8875276941341217,8.915956020355225
all_data,ID3,0.9524895389729559,0.9325461897027991,0.8910384752918972,0.9100990967430674,4.916149854660034
all_data,ID3,0.9524895389729559,0.9325461897027991,0.8910384752918972,0.9100990967430674,5.14499568939209
all_data,ID3,0.9524895389729559,0.9325461897027991,0.8910384752918972,0.9100990967430674,5.103348016738892
all_data,ID3,0.9524895389729559,0.9325461897027991,0.8910384752918972,0.9100990967430674,4.944055080413818
all_data,ID3,0.9524895389729559,0.9325461897027991,0.8910384752918972,0.9100990967430674,4.962026834487915
all_data,AdaBoost,0.9451045572808572,0.934780135603481,0.8602616936045522,0.8920077625687248,70.69145512580872
all_data,AdaBoost,0.9451045572808572,0.934780135603481,0.8602616936045522,0.8920077625687248,70.1422324180603
all_data,AdaBoost,0.9451045572808572,0.934780135603481,0.8602616936045522,0.8920077625687248,70.81917786598206
all_data,AdaBoost,0.9451045572808572,0.934780135603481,0.8602616936045522,0.8920077625687248,73.25907564163208
all_data,AdaBoost,0.9451045572808572,0.934780135603481,0.8602616936045522,0.8920077625687248,95.90590906143188
all_data,XGBoost,0.9734716479230733,0.954454742702409,0.9494123332902922,0.951910360496963,41.80670142173767
all_data,XGBoost,0.9734716479230733,0.954454742702409,0.9494123332902922,0.951910360496963,41.946884632110596
all_data,XGBoost,0.9734716479230733,0.954454742702409,0.9494123332902922,0.951910360496963,42.82071876525879
all_data,XGBoost,0.9734716479230733,0.954454742702409,0.9494123332902922,0.951910360496963,43.33912515640259
all_data,XGBoost,0.9734716479230733,0.954454742702409,0.9494123332902922,0.951910360496963,42.55357003211975
all_data,Ensemble,0.9737312968847424,0.9691407242523916,0.934685995522881,0.950860037696974,279.5840005874634
all_data,Ensemble,0.9722970454774273,0.9750067972593832,0.9241112040815553,0.9472789765689695,275.7438027858734
all_data,Ensemble,0.9736836062591296,0.9694386768066414,0.9342239336483376,0.9507314998008396,273.4969172477722
all_data,Ensemble,0.9736977368148667,0.9692584253806354,0.9344491379317401,0.9507788375982087,320.72287583351135
all_data,Ensemble,0.9724277531179955,0.9749157016546086,0.9246570540913808,0.9475631727344681,329.2447383403778
