File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Bot,Naive Bayes,0.7250965250965251,0.7605172901664617,0.8025853520328659,0.720780762447429,0.010000944137573242
Bot,Naive Bayes,0.6903474903474903,0.748989898989899,0.775039470674544,0.6887073347204664,0.00698542594909668
Bot,Naive Bayes,0.728957528957529,0.7579310344827586,0.8094462540716613,0.7226031347319586,0.007997989654541016
Bot,Naive Bayes,0.715057915057915,0.7622422680412371,0.7922297297297297,0.7129105108439207,0.010016441345214844
Bot,Naive Bayes,0.7328185328185328,0.7715203626138085,0.8017021462556606,0.7305432073819627,0.016000032424926758
Bot,QDA,0.7714285714285715,0.7807245413962203,0.8328162629267601,0.7640503661244971,0.01202392578125
Bot,QDA,0.7397683397683398,0.7667661597602482,0.8073956607363024,0.735313721910649,0.00996088981628418
Bot,QDA,0.7683397683397684,0.774598127539304,0.8339575095658636,0.7589950372208437,0.008016586303710938
Bot,QDA,0.7598455598455598,0.7796393613028036,0.8215601965601965,0.7551143877783688,0.008998394012451172
Bot,QDA,0.7799227799227799,0.788948093113983,0.8301445404041232,0.7745452879461217,0.009999990463256836
Bot,Random Forest,0.976061776061776,0.9650447749721358,0.9799546677999718,0.9720236299104993,0.39744138717651367
Bot,Random Forest,0.9737451737451738,0.9613137180304678,0.9802967413680563,0.9699352135603592,0.4015841484069824
Bot,Random Forest,0.976061776061776,0.9637677907244198,0.9799944259610862,0.9713750731755664,0.42145705223083496
Bot,Random Forest,0.972972972972973,0.960778841041999,0.9796273546273546,0.9692986823326364,0.6139392852783203
Bot,Random Forest,0.9737451737451738,0.9641927809375116,0.9774899897849374,0.9703712376922538,0.43707776069641113
Bot,ID3,0.9768339768339769,0.9661815962792335,0.980507153987817,0.9729074963597717,0.020017385482788086
Bot,ID3,0.9745173745173745,0.9627974190079311,0.9801684268077011,0.9707640745993273,0.018999099731445312
Bot,ID3,0.9783783783783784,0.9667658228559229,0.9824171006868841,0.974125874125874,0.01882338523864746
Bot,ID3,0.972972972972973,0.9611619059797638,0.9789619164619164,0.9692612875332733,0.014974117279052734
Bot,ID3,0.9745173745173745,0.9661089809998825,0.9768003364961789,0.9711573700056895,0.017023801803588867
Bot,AdaBoost,0.9737451737451738,0.9612082840042991,0.9790267743306418,0.9694205531664277,0.5665035247802734
Bot,AdaBoost,0.9714285714285714,0.9581335241533253,0.978618889019063,0.9673439149544627,0.4437856674194336
Bot,AdaBoost,0.976061776061776,0.9632381735588973,0.9807884361917701,0.9714177087034127,0.3495774269104004
Bot,AdaBoost,0.9683397683397683,0.9545680225218801,0.9762489762489763,0.9641652172797961,0.34128904342651367
Bot,AdaBoost,0.9737451737451738,0.9637925370128976,0.978119554470319,0.9704059685441591,0.5018670558929443
Bot,Nearest Neighbors,0.9706563706563707,0.9568125926287845,0.9768168295792605,0.9659148209922036,0.05800032615661621
Bot,Nearest Neighbors,0.9606177606177606,0.9453548644338118,0.9673509180069959,0.9550991937638562,0.043810129165649414
Bot,Nearest Neighbors,0.972972972972973,0.9596158364661654,0.9770288630702503,0.9677296711167562,0.04846525192260742
Bot,Nearest Neighbors,0.9698841698841699,0.9566196631414023,0.9773751023751024,0.9658724404330326,0.04999876022338867
Bot,Nearest Neighbors,0.9660231660231661,0.9563937206957802,0.9673882761672211,0.9615660648183123,0.045000314712524414
Bot,XGBoost,0.9768339768339769,0.9661815962792335,0.980507153987817,0.9729074963597717,0.2542729377746582
Bot,XGBoost,0.9737451737451738,0.9621373622528357,0.9789215440146837,0.9698589813800658,0.19846796989440918
Bot,XGBoost,0.9752895752895753,0.9636754424018434,0.9778635173346804,0.9703851079399928,0.20614361763000488
Bot,XGBoost,0.972972972972973,0.9615565357627281,0.9782964782964783,0.9692236343475784,0.21459102630615234
Bot,XGBoost,0.9745173745173745,0.9661089809998825,0.9768003364961789,0.9711573700056895,0.21499967575073242
Bot,Ensemble,0.9776061776061776,0.9673239312569497,0.9810596401756623,0.9737925413244624,1.2551100254058838
Bot,Ensemble,0.9737451737451738,0.9613137180304678,0.9802967413680563,0.9699352135603592,0.9139354228973389
Bot,Ensemble,0.9776061776061776,0.9655840294412996,0.9818742125218461,0.9732218426481105,0.9408707618713379
Bot,Ensemble,0.972972972972973,0.960778841041999,0.9796273546273546,0.9692986823326364,1.0776500701904297
Bot,Ensemble,0.9752895752895753,0.9663277308240904,0.9786289419489465,0.9720811909150685,0.9090917110443115
DDoS,Naive Bayes,0.748119630699034,0.7039167441463037,0.7157829948679144,0.7087764526876683,0.31200289726257324
DDoS,Naive Bayes,0.7480483370762485,0.7041942138895669,0.7146516451879343,0.7085880134474909,0.3334367275238037
DDoS,Naive Bayes,0.7469789327344669,0.7016665492817877,0.7133610149904492,0.7064741266570103,0.5387144088745117
DDoS,Naive Bayes,0.7503297330053826,0.7042442967965197,0.7156181675047271,0.70899243120171,0.2805917263031006
DDoS,Naive Bayes,0.7526467757459095,0.7080148281128846,0.7203308776042798,0.7130757468479879,0.31800246238708496
DDoS,QDA,0.8620824867215627,0.8416871523565412,0.9000783994616978,0.8515873018727175,0.3211061954498291
DDoS,QDA,0.866003635974762,0.8452861878112603,0.9023197490812147,0.8557124411556993,0.28667306900024414
DDoS,QDA,0.8647916443874095,0.8433243224962272,0.9023979652369125,0.8540209995601782,0.33658266067504883
DDoS,QDA,0.8638291804798061,0.8418622623190102,0.9018373861095847,0.8527373664698278,0.26400017738342285
DDoS,QDA,0.8636152996114498,0.8422486156993348,0.901528050836357,0.8527909255679118,0.4478604793548584
